Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
0.94470143,0.029600024,0.01638335,273.8334,231.94873,39700,0.6625678,0.0,0.15,0.18124999,0.1942,5.0,0.03,50,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.8083219,0.042700052,0.039250016,118.325554,77.29264,79400,0.524335,0.0,0.07,0.1815,0.18259999,5.0,0.03,100,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.8839887,0.037,0.035133302,121.270805,74.3886,158800,0.57994276,0.0,0.06,0.19016667,0.1917,5.0,0.03,200,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.9348548,0.047200024,0.042033315,84.80899,51.8016,317600,0.64484733,0.0,0.06,0.22041667,0.2223,5.0,0.03,400,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.0662642,0.0413,0.033850014,92.10005,51.367596,635200,0.8106695,0.0,0.05,0.256875,0.2604,5.0,0.03,800,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.2576844,0.04040003,0.029016674,117.115265,61.23584,1270400,0.99886477,0.0,0.06,0.33291668,0.3306,5.0,0.03,1600,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.887075,0.032600045,0.023800015,192.31664,167.5975,39700,0.5922209,0.0,0.13,0.191625,0.18959999,5.0,0.01,50,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.83050936,0.0413,0.037549973,112.835045,78.87356,79400,0.53108144,0.0,0.07,0.18404166,0.19129999,5.0,0.01,100,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.8962031,0.038300037,0.036849976,103.40947,67.913345,158800,0.5859821,0.0,0.06,0.20225,0.2016,5.0,0.01,200,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.95032984,0.048600018,0.044499993,68.51436,44.69498,317600,0.6508918,0.0,0.06,0.247,0.2522,5.0,0.01,400,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
