Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
1.1988707,0.15200001,0.13029999,67.1578,42.43827,635200,0.98346615,0.0,0.06,0.36479166,0.3753,5.0,0.03,800,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.4065002,0.16350001,0.13669997,122.1161,70.61694,1270400,1.2065707,0.0,0.07,0.43,0.42929998,5.0,0.03,1600,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.0272075,0.15140003,0.12975001,94.04551,73.085884,39700,0.7552913,0.0,0.08,0.3165,0.3279,5.0,0.01,50,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.037846,0.15030003,0.13153332,77.64441,58.06046,79400,0.7720469,0.0,0.07,0.32608333,0.3238,5.0,0.01,100,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.0672385,0.1458,0.12975001,65.67015,47.41155,158800,0.80885,0.0,0.06,0.32933334,0.3434,5.0,0.01,200,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.1144278,0.1505,0.1299833,50.578835,37.546906,317600,0.86783826,0.0,0.07,0.36379167,0.36789998,5.0,0.01,400,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.1635925,0.15210003,0.13306665,32.036705,22.765911,635200,0.9528917,0.0,0.06,0.40483332,0.41149998,5.0,0.01,800,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.3085217,0.15390003,0.1333,45.364895,29.021055,1270400,1.1272254,0.0,0.05,0.442125,0.4488,5.0,0.01,1600,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.0288265,0.15030003,0.12966669,88.52418,72.22977,39700,0.75798404,0.0,0.08,0.32525,0.3347,5.0,0.003,50,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.0396496,0.1494,0.13246667,72.11063,56.784393,79400,0.7762923,0.0,0.06,0.32495832,0.3381,5.0,0.003,100,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
